Subject,Session,Run,Bval_Word_Count,AcquisitionTime,SeriesDescription,Denoised_Log,Denoised_Status,Rmgibbs_Log,Rmgibbs_Status
sub-14761x1340,ses-SCAP1,run-01,33,16:02:47.510000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14761x1340,ses-SCAP1,run-02,33,16:02:47.510000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14732x640,ses-SCAP1,run-01,33,15:46:39.140000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14732x640,ses-SCAP1,run-02,33,15:46:39.140000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14714x1840,ses-SCAP1,run-01,33,13:42:20.670000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14714x1840,ses-SCAP1,run-02,33,13:42:20.670000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14858x320,ses-SCAP1,run-08,33,13:30:9.900000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14858x320,ses-SCAP1,run-01,66,13:16:59.950000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14875x1040,ses-SCAP1,run-02,33,10:19:52.480000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14875x1040,ses-SCAP1,run-01,33,10:19:52.480000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14789x820,ses-SCAP1,run-02,33,12:39:11.980000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14789x820,ses-SCAP1,run-01,33,12:39:11.980000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14752x640,ses-SCAP1,run-01,33,12:26:17.930000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14752x640,ses-SCAP1,run-02,33,12:26:17.930000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14864x3840,ses-SCAP1,,33,15:38:33.140000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14711x820,ses-SCAP1,run-01,33,13:20:29.350000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14872x1640,ses-SCAP1,run-01,33,15:05:3.100000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14872x1640,ses-SCAP1,run-02,33,15:05:3.100000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14799x220,ses-SCAP1,,33,14:05:50.390000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14761x1140,ses-SCAP1,run-02,33,09:50:47.480000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14761x1140,ses-SCAP1,run-01,33,09:50:47.480000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14872x4040,ses-SCAP1,run-01,33,13:04:32.680000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14872x4040,ses-SCAP1,run-02,33,13:04:32.680000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14969x720,ses-SCAP1,run-01,33,14:56:21.820000,DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14711x720,ses-SCAP1,run-01,33,11:02:51.930000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14757x340,ses-SCAP1,run-01,33,13:48:45.900000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14757x340,ses-SCAP1,run-02,33,13:48:45.900000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14867x3740,ses-SCAP1,run-01,33,15:06:13.730000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14872x1540,ses-SCAP1,run-02,33,10:28:30.600000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14872x1540,ses-SCAP1,run-01,33,10:28:30.600000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14757x840,ses-SCAP1,run-02,33,16:40:54.140000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14757x840,ses-SCAP1,run-01,33,16:40:54.140000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14796x420,ses-SCAP1,,33,11:35:12.840000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14761x1440,ses-SCAP1,run-01,33,14:57:56.590000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14761x1440,ses-SCAP1,run-02,33,14:57:56.590000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14757x1340,ses-SCAP1,run-01,33,15:32:51.040000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14757x1340,ses-SCAP1,run-02,33,15:32:51.040000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14967x2640,ses-SCAP1,run-02,33,09:20:4.980000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14967x2640,ses-SCAP1,run-01,33,09:20:4.980000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14922x340,ses-SCAP1,run-01,33,13:57:20.600000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14922x340,ses-SCAP1,run-02,33,13:57:20.600000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14735x2840,ses-SCAP1,run-01,33,13:14:55.500000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14735x2840,ses-SCAP1,run-02,33,13:14:55.500000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14739x320,ses-SCAP1,,33,12:30:53.210000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14781x1640,ses-SCAP1,run-02,33,10:31:11.390000,Reg - DTI_HR SENSE,COMPLETED_BUT_FILE_MISSING,FALSE,COMPLETE,FALSE
sub-14781x1640,ses-SCAP1,run-01,33,10:31:11.390000,DTI_HR,COMPLETED_BUT_FILE_MISSING,FALSE,COMPLETE,FALSE
sub-14870x1040,ses-SCAP1,run-01,33,14:08:55.570000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14870x1040,ses-SCAP1,run-02,33,14:08:55.570000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14729x620,ses-SCAP1,,33,13:44:20.700000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14971x940,ses-SCAP1,,33,11:31:57.060000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14767x2740,ses-SCAP1,run-01,33,09:14:9.150000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14767x2740,ses-SCAP1,run-02,33,09:14:9.150000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14736x720,ses-SCAP1,run-01,33,13:23:25.980000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14770x720,ses-SCAP1,run-01,33,13:46:26.180000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14742x720,ses-SCAP1,,33,13:56:3.010000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14777x320,ses-SCAP1,,33,15:34:28.930000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14786x2440,ses-SCAP1,run-02,33,11:06:46.590000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14786x2440,ses-SCAP1,run-01,33,11:06:46.590000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14753x620,ses-SCAP1,,33,13:03:13.230000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
